Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЯ МФО""",Признаки нелегального кредитора,7811616280,"192019, г. Санкт-Петербург, ул. Мельничная, д. 18, литер А, пом. 18-Н 10, оф. 805",,01.02.2021
"BANK FR, Software Payment Logic, Банк FR, Bank-Fr",Признаки нелегального профессионального участника рынка ценных бумаг,,,"bankfr.com, bank-fr.com, https//bank-fr.ru",01.06.2021
"MSKFINANCE10, MSKFinance10",Признаки нелегального профессионального участника рынка ценных бумаг,,,mskfinance10.com,01.06.2021
HMC.life,Признаки нелегального профессионального участника рынка ценных бумаг,,,hmc.life,01.06.2021
"BitactiX, BitactiX Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,bitactix.com,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ НАЛИК""",Признаки нелегального кредитора,7807216498,"198259, г. Санкт-Петербург, пр. Народного ополчения, д. 237, лит. А",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ПЛАНЕТА КЭШ""",Признаки нелегального кредитора,7810714976,"197227, г. Санкт-Петербург, пр. Комендантский, д. 11, лит. В, помещение 28Н, этаж 2, пом. В-2-8 К",,01.02.2021
InvestActive,Признаки нелегального профессионального участника рынка ценных бумаг,,,investactive.io,01.06.2021
Ювелирный на Некрасова,Признаки нелегального кредитора,,"403343, Волгоградская обл., г. Михайловка, ул. Некрасова, 12",,01.02.2021
"BBS, Bid Broker Stocks, Donnybrook, Donnybrook Consulting Ltd, EuroFX",Признаки нелегального профессионального участника рынка ценных бумаг,,,"bid-broker-stocks.cc, bid-broker-stocks.io, eurofx.trade, eurofx.сс, ofxb.io",01.06.2021
Alantra Global,Признаки нелегального профессионального участника рынка ценных бумаг,,,alantraglobal.com,01.02.2021
"Colibri FX, KRISHIL INVESTMENTS LIMITED",Признаки нелегального профессионального участника рынка ценных бумаг,,,"webtrader.colibrifx.com, colibrifx.com",01.06.2021
FX1PRO,Признаки нелегального профессионального участника рынка ценных бумаг,,,fx1pro.com,01.02.2021
InsideXchange,Признаки нелегального профессионального участника рынка ценных бумаг,,,"insidexchange.in, insidexchange.ru",01.06.2021
Crypto Security,Признаки финансовой пирамиды,,,crypto-sec.ru,01.06.2021
"CXA Group, CXAGroup",Признаки нелегального профессионального участника рынка ценных бумаг,,,"cxagroup.net, trade.cxagroup.net",01.02.2021
"ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""МЕЖДУНАРОДНОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""НЕЗАВИСИМОСТЬ"" (PRO НЕЗАВИСИМОСТЬ)",Признаки финансовой пирамиды,9717090685,"129164, г. Москва, пр-т Мира, д. 124, корп. 7, этаж 1, пом. 1, ком. 1-5",pro-nezavisimost.ru,01.06.2021
"Ломбард Деньги под зарплату, скупка, продажа ",Признаки нелегального кредитора,,"693000, Сахалинская обл., г. Южно-Сахалинск, ул. Ленина, д. 123, место 106",,01.02.2021
Капитал Ломбард,Признаки нелегального кредитора,,"652401, Кемеровская обл.-Кузбасс, г. Тайга, пр. Кирова, д. 24",,01.02.2021
Ломбард Грин,Признаки нелегального кредитора,,"652401, Кемеровская обл.-Кузбасс, г. Тайга, пр. Кирова, д. 24",,01.02.2021
Mobil@42,Признаки нелегального кредитора,,"650036, Кемеровская обл.-Кузбасс, г. Кемерово, пр-т Ленина, д.91, к.1",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ОМЕГАСТАР""",Признаки нелегального кредитора,5405045658,"630039, Новосибирская обл., г. Новосибирск, ул. Крамского, д. 42, офис 309",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЧЕЛЛИЗИНГ"" (Национальный кредит)",Признаки нелегального кредитора,7449134179,"454001, Челябинская обл., г. Челябинск, Калининский район, ул. 40-летия Победы, 533 помещение, ACADEM Riverside",natcredit.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ НОВЫЙ РЕСУРС""",Признаки нелегального кредитора,7813631848,"191144, г. Санкт-Петербург, ул. Моисеенко, д. 24, лит. Б, пом./оф. 1-н/7",,01.02.2021
Автомани,Признаки нелегального кредитора,,"125466, г. Москва, ул. Соколово-Мещерская, д.29;119311, г. Москва, Проспект Вернадского, д. 8А;125167, г. Москва, Ленинградский Проспект, д. 52;129226, г. Москва, Проспект Мира, д. 163;111123, г. Москва, Шоссе Энтузиастов, д. 54;115419, г. Москва, ул. Шаболовка, д. 30/12",zalogpodavto.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИЗИНГОВАЯ КОМПАНИЯ ""АВТОЭКСПРЕСС"" (АВТОЭКСПРЕСС)",Признаки нелегального кредитора,5036169610,"142100, Московская обл., г. Подольск, ул. Рабочая, д. 36, пом. 3","lkautoexpress.ru, птсденьги.рф, птс-инвест.рф",01.06.2021
"ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЕЦ КАПИТАЛ""",Признаки финансовой пирамиды,9721095608,"109377, г. Москва, ул. 1-ая Новокузьминская, д. 19, ком. 11/3","kompaniets-kapital.ru, kompaniets-capital.ru",01.06.2021
WRX Global,Признаки нелегального профессионального участника рынка ценных бумаг,,,"wrxglobal.com, trade.wrxglobal.com",01.02.2021
Автоломбард16,Признаки нелегального кредитора,,,autolombard16.ru,01.06.2021
Sun Way,Признаки финансовой пирамиды,,,sundaize.com,01.06.2021
CentreFX,Признаки нелегального профессионального участника рынка ценных бумаг,,,centrefx.com,01.02.2021
"Regency OneGroup, Regency One FX",Признаки нелегального профессионального участника рынка ценных бумаг,,,regencyonegroup.com,01.02.2021
Центральный,Признаки нелегального кредитора,,"142600, Московская обл., г. Орехово-Зуево, ул. Ленина, д. 78",avtosalon.centr.tilda.ws,01.02.2021
"ETDTRADE, ETD TRADE",Признаки нелегального профессионального участника рынка ценных бумаг,,,etdtrade.com,01.02.2021
"X Open Hub, XTB Limited, X Open Hub Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,xopenhub.pro,01.06.2021
Fxspace Worldwide Fin Services Ltd,Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands, MH 96960","fxspace.org, fxspace.pro, fxspace.info",01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД БИЛЛИОН""",Признаки нелегального кредитора,2361001165,"353680, Краснодарский край, г. Ейск, ул. Энгельса, д. 62-66",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД АЛМАЗ""",Признаки нелегального кредитора,6154130233,"347900, Ростовская обл., г. Таганрог, пер. Гоголевский, д. 18.",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДЕНЕЖНЫЙ КРЫМ""",Признаки нелегального кредитора,9102263460,"298676,  Республика Крым, г. Симферополь, ул. Русская, д. 100, офис 1",credit82.ru,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ФИНМАРКЕТ"" (ФИНМАРКЕТ, FINMARKET TODAY)",Признаки финансовой пирамиды,2366021278,"354000, Краснодарский край, г. Сочи, ул. Кубанская (Центральный р-н), д. 15, оф. 303",pk-finmarket.ru,01.06.2021
"Finast, Paper Trade",Признаки финансовой пирамиды,,,"finast.ru, papertrade.ru",01.02.2021
Сashberygroup,Признаки финансовой пирамиды,,,cashberygroup.info,01.02.2021
Ломбард Приморский/Приморский ломбард,Признаки нелегального кредитора,,"197082, г. Санкт-Петербург, ул. Туристская, д. 28",v-lombarde.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ЭЛИСТЕ""",Признаки нелегального кредитора,3525443914,"160004, Вологодская обл., г. Вологда, ул. Ленинградская, дом 40Б, офис 6",,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РАЗВИТИЮ ЭКОНОМИЧЕСКИХ И СОЦИАЛЬНЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""КАПИТАЛ ФИНАНС""",Признаки финансовой пирамиды,5005069213,"140200, Московская область, г. Воскресенск, ул. Пионерская, д. 4, пом. 28, эт. 1",,01.06.2021
"WHITE STONE GROUP, WHITE STONE GROUP INC. LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,wsgroup.org,01.06.2021
"FinoCapital, Fino Capital",Признаки нелегального профессионального участника рынка ценных бумаг,,,"finocapital.io, finocapital.cc",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛДАРТ""",Признаки финансовой пирамиды,1655381574,"420034, Республика Татарстан, г. Казань, ул. Лушникова, д. 10А, пом. 301",,01.06.2021
Ломбард,Признаки нелегального кредитора,,"644007, Омская обл., г. Омск, ул. Гусарова, д. 13",,01.02.2021
Комиссионный магазин Альтернатива,Признаки нелегального кредитора,,"644053, Омская обл., г. Омск, пр. Мира, д. 78;644045, Омская обл., г. Омск, ул. Королева, д. 2;644119, Омская обл., г. Омск, ул. Комарова, д. 8г",,01.02.2021
Ломбард-Комиссионный магазин,Признаки нелегального кредитора,,"644073, Омская обл., г. Омск, ул. Дианова, д. 22",,01.02.2021
Купи-Продай Комиссионный магазин ,Признаки нелегального кредитора,,"644106, Омская обл., г. Омск, ул. Лесной проезд, д. 10",,01.02.2021
"Ювелирная студия ""Жемчужина""",Признаки нелегального кредитора,,"353100, Краснодарский край, Выселковский район, ст. Выселки, пер. Якименко, д. 22А",,01.02.2021
ЛомбардЪ,Признаки нелегального кредитора,,"353100, Краснодарский край, Выселковский район, ст. Выселки, ул. Ткаченко, д. 45",,01.02.2021
Арго-Ломбард,Признаки нелегального кредитора,,"352030, Краснодарский край, Кущевский район, ст. Кущевская, пер. Первомайский, д. 98.",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЭКСПРЕСС""",Признаки нелегального кредитора,2301077466,"353451, Краснодарский край, г. Анапа, ул. Объездная, 39, пом. 89",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АМУРСКИЕ НАЛИЧНЫЕ""",Признаки нелегального кредитора,2801215604,"675000, Амурская обл., г. Благовещенск, ул. Северная, д. 165",exnal28.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ББМ""",Признаки нелегального кредитора,2722129279,"680011, Хабаровский край, г. Хабаровск, ул. Джамбула, д. 49, пом. III (17)",,01.02.2021
"Arvis Capital Limited, Invest Markets, IM, ArvisFx",Признаки нелегального профессионального участника рынка ценных бумаг,,,arvisfx.com,01.02.2021
IBUUMERANG ONLINE,Признаки финансовой пирамиды,,,"ibuumerangonline.ru, ibuumerangrussian.ru, ibuumerang.click",01.06.2021
"TRENDEX, TRND HLDS LIMITED",Признаки нелегального профессионального участника рынка ценных бумаг,,,"trendex.co, trendex.ru",01.06.2021
"Комиссионный магазин ""Скупка33""",Признаки нелегального кредитора,,"601144, Владимирская обл., г. Петушки, ул. Вокзальная, д. 42",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""РФГ""",Признаки нелегального кредитора,1831193145,"426011, Удмуртская Республика, г. Ижевск, ул. Максима Горького, д. 79, пом. 84",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ФИНСТОР""",Признаки нелегального кредитора,1655371819,"423250, Республика Татарстан, г. Казань, ул. Московская, д. 15 офис 303",финстор.рф,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЭВЕРЕСТ-ФИНАНС""",Признаки нелегального кредитора,4329012818,"613152, Кировская обл., Слободской район, г. Слободской, ул. Кирова, д. 18, кв. 61",nzslob.ru,01.02.2021
COMMITTENT,Признаки нелегального кредитора,,"141080, Московская обл., г. Королев, ул. Горького д. 25;141281, Московская обл., г. Ивантеевка, ул. Трудовая д. 25 (цокольный этаж);141402, Московская обл., г. Химки, ул. Московская д.1 / ул. Кирова д. 2",committent.ru,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""СОЦКОМВКЛАД"" (СОЦКОМВКЛАД)",Признаки финансовой пирамиды,9701154492,"105082, г. Москва, пл. Спартаковская пл., д. 14, стр. 3, ком. 9, оф. 91, эт. 2",соцкомвклад.рф,01.06.2021
"Raise-Trade, Raise Trade, Raise-Trade LTD, Raise Trade LTD, World Trade Market LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,"raise-trade.com, worldtrademarket24.com, my.raise-trade.com",01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕНЬГИ""",Признаки нелегального кредитора,7724184563,"115582, г. Москва, Ореховый бульвар, д. 14, корп. 1, оф. 9, кв. 374","mkkdengi.ru, creditabs.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСК-ИНВЕСТ""",Признаки нелегального кредитора,9715371793,"127018, г. Москва, ул. Стрелецкая, д. 6",мск-инвест.рф,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МОНЕТРИА""",Признаки нелегального кредитора,7707412932,"123112, г. Москва, Пресненская набережная, д. 12, эт. 44, оф. 4405.1","monetria.ru, mkk-zhemchug.ru, credit-xpress.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОКОЛЕНИЕ""",Признаки нелегального кредитора,9710060106,"125009, г. Москва, ул. Тверская, д. 28, корп. 2, ком. 6",robotmoney.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""БЕРКО-44-19""",Признаки нелегального кредитора,4405010195,"157800, Костромская обл., Нерехтский район, г. Нерехта, ул. Октябрьская, д. 33",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЦЕНТР ДЕНЬГИ""",Признаки нелегального кредитора,9701035093,"125430, г. Москва, ул. Митинская, д. 56, эт 1, пом I, комн. 4А",centrdengi.ru,01.02.2021
Комиссионный магазин Smart Kapusta,Признаки нелегального кредитора,,"640007, Курганская обл., г. Курган, проспект Машиностроителей, 3В, 2 офис;640026, Курганская обл., г. Курган, ул. Пушкина, 49;640001, Курганская обл., г. Курган, ул. Р. Зорге, 64;640018, Курганская обл., г. Курган, ул. Карла Маркса, 107;640002. Курганская обл., г. Курган, ул. Гоголя, 123;640020, Курганская обл., г. Курган, ул. Карбышева, 1",kapusta.shop,01.02.2021
Комиссионный магазин Деньги тут,Признаки нелегального кредитора,,"640001, Курганская обл., Курган, ул. Станционная, 45;640002, Курганская обл., Курган, Центральный район, ул. Ленина, 11",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-45""",Признаки нелегального кредитора,4501159381,"640000, Курганская обл., г. Курган, ул. Коли Мяготина, 120",,01.02.2021
ЛОМБАРДиЯ,Признаки нелегального кредитора,,"644011, Омская обл., г Омск,  ул. 70 лет Октября, д. 25а/1",,01.02.2021
Ломбард Статус,Признаки нелегального кредитора,,"644011, Омская обл., г Омск,  ул. 70 лет Октября, д. 25а/1",,01.02.2021
Ломбард Гарантия,Признаки нелегального кредитора,,"644080, Омская обл., г. Омск, пр-т  Мира, 10А",,01.02.2021
Комиссионный магазин Ломбардист,Признаки нелегального кредитора,,"644050, Омская обл., г. Омск, ул. 20 Партсъезда, д. 35/10",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРАЗИЯ ФИНАНС""",Признаки нелегального кредитора,9705137988,"115093, г. Москва, ул. Большая Серпуховская, д. 44, эт. 3, пом I, комн. 19 (РМН3)",eurasia-finance.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СТАРМИКС""",Признаки нелегального кредитора,7720462749,"123112, г. Москва, Пресненская наб., д. 12, эт. 54, пом. V, ком. 1","starmiks.ru, mkk-starmix.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЧЕНТЕЗИМО""",Признаки нелегального кредитора,9723066546,"115088, г. Москва, ул. Южнопортовая, д. 20, стр. 21, комн. 16",chentezimozaim.ru,01.02.2021
"Комиссионный магазин Ломбард Джинни, Купи-Продай, ЛомбардiST",Признаки нелегального кредитора,,"644074, Омская обл., г. Омск, ул. 70 лет Октября, д. 9а;644106, Омская обл., г. Омск, ул. Фугенфирова, д. 7а;644119, Омская обл., г. Омск, Бульвар Зеленый, д. 11а;644082, Омская обл., г. Омск, ул. Профинтерна, д. 10б;644036, Омская обл., г. Омск, ул. Мельничная, д. 89, к. 8;644112, Омская обл., г. Омск, бульвар Архитекторов, д. 14/4",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖИННИ"" (Комиссионный магазин Ломбард Джинни)",Признаки нелегального кредитора,5507243151,"644106, Омская обл., г. Омск, ул. Фугенфирова, д. 10",,01.02.2021
Ломбард 24,Признаки нелегального кредитора,,"644073, Омская обл., г. Омск, ул. Дианова, д. 30",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МИЧУРИНСКИЕ ЗАЙМЫ""",Признаки нелегального кредитора,6827028959,"393768, Тамбовская обл., г. Мичуринск, ул. Угловая, д. 18",mikrozaem68.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ОНЗАЕМ""",Признаки нелегального кредитора,7743720996,"129164, г. Москва, Ракетный б-р, д. 16, оф. 512","iq-capital.ru, onzaem.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ДЕНЕЖНЫЙ РОСТ""",Признаки нелегального кредитора,7726441230,"670033, Республика Бурятия, г. Улан-Удэ, ул. Тулаева, д. 148а, пом. 1",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КЕСЕФ""",Признаки нелегального кредитора,5407972344,"630099, Новосибирская обл., г. Новосибирск, ул. Советская, д. 65, офис 24",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КОЖУЛЪ""",Признаки нелегального кредитора,2457083480,"663302, Красноярский край, г. Норильск, ул. Комсомольская, д. 31, офис 615",,01.02.2021
"Займы под залог недвижимости, автомобиля",Признаки нелегального кредитора,,"660037, Красноярский край, г. Красноярск, проезд Северный, д. 4 офис 229",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОЛОДИНВЕСТ""",Признаки финансовой пирамиды,3662280891,"394016, Воронежская обл., г. Воронеж, ул. Беговая, д. 205, оф. 303",holod-invest.ru,01.02.2021
Матрица,Признаки нелегального кредитора,,"665717, Иркутская обл., г. Братск, ул. Южная, 14",,01.02.2021
$купка/залог,Признаки нелегального кредитора,,"665717, Иркутская обл., г. Братск, ул. Южная, 12",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВСЕНАРОДНЫЙ""",Признаки нелегального кредитора,1903023314,"655158, Республика Хакасия, г. Черногорск, ул. Юбилейная, д. 9Г",,01.02.2021
ByTrend,Признаки нелегального профессионального участника рынка ценных бумаг,,,bytrend.com,01.02.2021
Pubtioneer,Признаки финансовой пирамиды,,,globalline.net,01.06.2021
"Finmaker.Trade, Finmaker",Признаки нелегального профессионального участника рынка ценных бумаг,,,finmaker.trade,01.02.2021
"LYCONET, LYCONET RUSSIA",Признаки финансовой пирамиды,,,"lyconetrussia.tilda.ws, lyconet.com, lyconet1.ru, lyconet-elite-seminar.com, lyconet.by, lyconet.com/gb",01.06.2021
Trading Case,Признаки финансовой пирамиды,,,tradingcase.com,01.06.2021
Titan Trade Club,Признаки нелегального профессионального участника рынка ценных бумаг,,,titantradeclub.com,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""НЗ ДЕНЬГИ""",Признаки нелегального кредитора,6612048994,"620034, Свердловская обл., г. Екатеринбург, пр. Ленина, д. 24, офис 430",nzdengi.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СЕФИР""",Признаки нелегального кредитора,6658523258,"620034, Свердловская обл., г. Екатеринбург, ул. Колмогорова, д. 3, этаж 6, офис 604/1",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СТЭФФ""",Признаки нелегального кредитора,0274944610,"450106, Республика Башкорстостан, г. Уфа, ул. Степана Кувыкина, д. 19, корп. А",,01.02.2021
"FinCentra LTD, Fin Centra",Признаки нелегального профессионального участника рынка ценных бумаг,,,"fincentra.com, webtrader.fincentra.com, tradersroom.fincentra.com",01.02.2021
REI Group,Признаки нелегального профессионального участника рынка ценных бумаг,,,reigroup.us,01.02.2021
"Комиссионный магазин ""Чудо скупка""",Признаки нелегального кредитора,,"423812, Республика Татарстан, г. Набережные Челны, пр-кт Мира, д. 24А",naberchelni.chudo-skupka.ru,01.06.2021
"Комиссионный магазин ""Чудо скупка""",Признаки нелегального кредитора,,"420087, Республика Татарстан, г. Казань, ул. Даурская, д. 40",kazan.chudo-skupka.ru,01.06.2021
Ломбард Солнечный,Признаки нелегального кредитора,,"660119, Красноярский край, г. Красноярск,  бульвар Солнечный, 6;660119, Красноярский край, г. Красноярск, просп. 60 лет Образования СССР, 18",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНДФИНАНС""",Признаки нелегального кредитора,4345482169,"610014, Кировская обл., г. Киров, ул. Красина, д. 45, пом/каб 1002/4",,01.02.2021
Комиссионный ЛОМБАРДист,Признаки нелегального кредитора,,"630054, Новосибирская обл., г. Новосибирск, ул. Титова, 40;630054, Новосибирская обл., г. Новосибирск, ул. Д. Ковальчук, 75/1;630054, Новосибирская обл., г. Новосибирск, ул.  Челюскинцев, 44",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ""",Признаки нелегального кредитора,5905064698,"614095, Пермский край, г.Пермь, ул. Левченко, д. 21, кв. 54",,01.02.2021
"Royal Stocks, CAS Markets Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,"stocks-royal.com, trading.stocks-royal.com",01.06.2021
"МЕЖДУНАРОДНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ (ОБЩЕСТВО) ""ПАРТНЕР №1"" (ПАРТНЕР №1)",Признаки финансовой пирамиды,2366015436,"354068, Краснодарский край, г. Сочи, ул. Гончарова (Центральный р-н), д. 5А, пом. 46","credit.partner1.info, panorama.partner1.info",01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ АЛЫЕ ПАРУСА""",Признаки нелегального кредитора,5252030725,"606100, Нижегородская область, Павловский район, г. Павлово, ул. Нижегородская, д. 10",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ГАИТ""",Признаки нелегального кредитора,6372024563,"446450, Самарская область, г. Похвистнево, ул. Ленинградская, д. 7, кв. 2",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ДИЛЬНАЗ""",Признаки нелегального кредитора,1309000054,"431430, Республика Мордовия, Инсарский район, г. Инсар, ул. Московская, д. 91Б, этаж 2",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗАЙМОТЕКА ОНЛАЙН""",Признаки нелегального кредитора,5257174537,"603159, Нижегородская область, г. Нижний Новгород, ул. Карла Маркса, д. 20, помещение 11",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МЕГА-ТРАСТ""",Признаки нелегального кредитора,1841042096,"426011, Удмуртская Республика, г. Ижевск, ул. Красноармейская, д. 127, офис 40",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МОИ ЗАЙМЫ ПЛЮС""",Признаки нелегального кредитора,5252035515,"606103, Нижегородская область, г. Павлово, ул. Полевая, д. 33, офис 15",,01.06.2021
